description,amount,category
PAG. TARJ. PAPELERIA FERRER,-8.50,Otros gastos
TRANSFERENCIA DE INNOVATION SL CONCEPTO NOMINA,2150.00,Nómina
ABONO NOMINA REF.NM042025 LOGISTICS SA,1750.00,Nómina
TRANSF. RECIBIDA DE MARTINEZ GOMEZ LAURA,50.00,Transferencias recibidas
INGRESO POR TRANSFERENCIA REF.FACTURA 124,1200.00,Freelance
BIZUM RECIBIDO DE PEDRO SANCHEZ CONCEPTO REGALO,30.00,Transferencias recibidas
DEVOLUCION COMPRA ZARA ESPAÑA SA,29.95,Devoluciones
ABONO POR DEVOLUCION EL CORTE INGLES,85.00,Devoluciones
LIQUIDACION INTERESES CUENTA REMUNERADA,15.40,Otros ingresos
TRANSFERENCIA PREMIO LOTERIAS Y APUESTAS,120.00,Otros ingresos
ABONO AGENCIA TRIBUTARIA DEVOLUCION RENTA,450.00,Otros ingresos
INGRESO TRANSFERENCIA WALLAPOP SL,45.00,Otros ingresos
TRANSFERENCIA DE VINTED UAB,22.50,Otros ingresos
COMPRA TARJ *4829 MERCADONA S.A. 22/04,-45.20,Alimentación
PAGO EN COMERCIO CARREFOUR SA SEVILLA,-88.10,Alimentación
COMPRA TARJETA VISA ZARA ESPAÑA SA MADRID,-65.90,Ropa
OPERACION TARJ. DEB. EN LIDL MAIRENA ALJAR,-22.40,Alimentación
PAG. TARJ. ***1237 REPSOL AUTOPISTA,-45.00,Transporte
COMPRA CONTACTLESS *8421 STARBUCKS NERVION,-8.50,Restaurantes y Bares
PAGO MOVIL AMAZON EU SARL LUXEMBURGO,-15.99,Otros gastos
RECIBO ENDESA ENERGIA S.A.U. REF.20250407,-75.20,Suministros
ADEUDO SEPA VODAFONE ESPAÑA S.A.U.,-42.50,Suministros
RECIBO DOMICILIADO NATURGY IBERIA SA,-55.80,Suministros
ADEUDO DIRECTO SEPA SPOTIFY AB,-9.99,Suscripciones
RBO.DOMICILIADO NETFLIX INTERNATIONAL BV,-14.99,Suscripciones
RECIBO AXA SEGUROS GENERALES SA,-45.00,Seguros
ADEUDO DIRECTO MAPFRE VIDA SA DE SEGUROS,-32.15,Seguros
TRANSFERENCIA DE EMPRESA SL CONCEPTO NOMINA ABRIL 2025,2450.00,Nómina
TRANSF. RECIBIDA DE GARCIA LOPEZ JUAN,150.00,Transferencias recibidas
INGRESO POR TRANSFERENCIA REF.FREELANCE,950.00,Freelance
TRANSFERENCIA SEPA DE TECH SOLUTIONS SL,3200.00,Nómina
ABONO NOMINA REF.NM042025 EMPRESA SA,1850.00,Nómina
BIZUM RECIBIDO DE MARIA FERNANDEZ CONCEPTO CINE,12.50,Transferencias recibidas
BIZUM ENVIADO A CARLOS RUIZ,-25.00,Otros gastos
BIZUM DE +34612345678,40.00,Transferencias recibidas
RETIRADA EFECTIVO CAJERO OFC 1234 SEVILLA,-100.00,Otros gastos
DISPOSICION CAJERO AUTOMATICO BBVA,-50.00,Otros gastos
DEVOLUCION COMPRA AMAZON EU SARL,15.99,Devoluciones
ABONO POR DEVOLUCION ZARA ESPAÑA SA,65.90,Devoluciones
RETROCESION ADEUDO SEPA - GIMNASIO FIT,39.99,Devoluciones
RECIBO HIPOTECA PRESTAMO 12345678,-650.00,Vivienda
ADEUDO ALQUILER MENSUAL FINCA URBANA SL,-850.00,Vivienda
TRANSFERENCIA ALQUILER PISO C/ SIERPES,-900.00,Vivienda
ADEUDO SEPA APPLE.COM/BILL,-2.99,Suscripciones
RECIBO GOOGLE *YOUTUBE PREMIUM,-11.99,Suscripciones
ADEUDO DIRECTO SEPA AMAZON PRIME,-4.99,Suscripciones
RECIBO HBO MAX INTERNATIONAL,-8.99,Suscripciones
RECIBO CHATGPT SUBSCRIPTION OPENAI,-22.00,Suscripciones
COMPRA TARJ *1122 DIA RETAIL SA VALENCIA,-25.40,Alimentación
PAGO EN COMERCIO ALDI SUPERMERCADOS,-38.50,Alimentación
COMPRA TARJETA ALCAMPO SA MADRID,-95.20,Alimentación
OPERACION TARJ. DEB. EN EROSKI BILBAO,-45.80,Alimentación
COMPRA TARJ CONSUM COOP V BARCELONA,-32.10,Alimentación
PAGO EN COMERCIO BONAREA CERVERA,-18.50,Alimentación
PAGO TARJETA BONPREU SA BARCELONA,-55.40,Alimentación
COMPRA TARJ SUPERMERCADOS MAS SEVILLA,-42.80,Alimentación
COMPRA CONTACTLESS COVIRAN GRANADA,-15.50,Alimentación
PAGO EN COMERCIO HIPERCOR SA MALAGA,-125.00,Alimentación
COMPRA TARJ *4455 SUPERSOL SUPERMERCADOS,-28.90,Alimentación
PAGO EN COMERCIO AHORRAMAS SA MADRID,-45.20,Alimentación
COMPRA TARJETA GADIS SANTIAGO,-52.10,Alimentación
OPERACION TARJ. BM SUPERMERCADOS,-48.50,Alimentación
COMPRA TARJ FROIZ SA PONTEVEDRA,-35.40,Alimentación
PAGO COMERCIO CASH FRESH ALJARAFE,-75.80,Alimentación
COMPRA TARJ *9988 FAMILY CASH VALENCIA,-150.00,Alimentación
COMPRA TARJ *4829 MERCADONA SA MAIRENA DE,-65.20,Alimentación
PAGO EN COMERCIO CARREFOUR SA SEVILLA,-105.40,Alimentación
COMPRA TARJETA VISA MCDONALDS MADRID,-18.50,Restaurantes y Bares
OPERACION TARJ. DEB. BURGER KING SEVILLA,-22.40,Restaurantes y Bares
PAG. TARJ. ***1237 KFC RESTAURANTS,-15.80,Restaurantes y Bares
COMPRA CONTACTLESS *8421 TELEPIZZA SA,-32.50,Restaurantes y Bares
PAGO MOVIL DOMINOS PIZZA BARCELONA,-25.40,Restaurantes y Bares
COMPRA TARJ JUST EAT SPAIN SL,-45.00,Restaurantes y Bares
PAGO EN COMERCIO GLOVOAPP23 SL BARCELONA,-35.20,Restaurantes y Bares
COMPRA TARJETA UBER EATS MADRID,-28.50,Restaurantes y Bares
OPERACION TARJ. 100 MONTADITOS VALENCIA,-15.40,Restaurantes y Bares
PAG. TARJ. GOIKO GRILL SA BILBAO,-55.20,Restaurantes y Bares
COMPRA CONTACTLESS LA TAGLIATELLA,-75.00,Restaurantes y Bares
PAGO MOVIL TACO BELL ESPAÑA,-22.10,Restaurantes y Bares
COMPRA TARJ FIVE GUYS SPAIN SL,-42.50,Restaurantes y Bares
PAGO EN COMERCIO TIM HORTONS MADRID,-8.50,Restaurantes y Bares
COMPRA TARJETA CAFET. EL PASO SEVILLA,-5.50,Restaurantes y Bares
OPERACION TARJ. RESTAURANTE LOS ARCOS,-85.00,Restaurantes y Bares
PAG. TARJ. BAR LA PLAZA MALAGA,-25.40,Restaurantes y Bares
COMPRA TARJ *4829 MERCADONA S.A. 29/04,-75.80,Alimentación
PAGO EN COMERCIO CARREFOUR SA VALENCIA,-135.20,Alimentación
PAG. TARJ. ***1237 CEPSA ESTACIONES,-55.00,Transporte
COMPRA CONTACTLESS *8421 BP OIL ESPAÑA,-60.00,Transporte
PAGO MOVIL SHELL ESPAÑA SA,-45.50,Transporte
COMPRA TARJ GALP ENERGIA ESPAÑA,-50.00,Transporte
PAGO EN COMERCIO RENFE OPERADORA MADRID,-65.00,Transporte
COMPRA TARJETA CABIFY ESPAÑA SL,-22.40,Transporte
OPERACION TARJ. DEB. UBER SPAIN,-28.50,Transporte
PAG. TARJ. BOLT OPERATIONS OU,-18.50,Transporte
COMPRA CONTACTLESS FREENOW,-15.40,Transporte
PAGO MOVIL BLABLACAR PARIS,-35.00,Transporte
COMPRA TARJ VUELING AIRLINES SA,-185.00,Transporte
PAGO EN COMERCIO RYANAIR DUBLIN,-120.50,Transporte
COMPRA TARJETA IBERIA LAE MADRID,-250.00,Transporte
OPERACION TARJ. EMT MADRID,-1.50,Transporte
PAG. TARJ. METRO DE MADRID SA,-12.20,Transporte
COMPRA CONTACTLESS PARKING SABA SEVILLA,-18.50,Transporte
PAGO MOVIL AUTOPISTAS DEL SUR PEAJE,-12.40,Transporte
COMPRA TARJ ITV ANDALUCIA,-45.00,Transporte
RECIBO COMUNIDAD PROPIETARIOS EDIFICIO,-65.00,Vivienda
PAGO EN COMERCIO LEROY MERLIN SA,-150.00,Vivienda
COMPRA TARJETA IKEA ESPAÑA SA,-320.50,Vivienda
OPERACION TARJ. BRICOMART SEVILLA,-110.20,Vivienda
PAG. TARJ. AKI BRICOLAJE ESPAÑA,-55.40,Vivienda
TRANSFERENCIA OBRAS Y REFORMAS SL,-550.00,Vivienda
RECIBO IBERDROLA CLIENTES SAU,-85.40,Suministros
ADEUDO SEPA REPSOL GAS Y ELECTRICIDAD,-75.20,Suministros
RECIBO DOMICILIADO CANAL ISABEL II,-32.50,Suministros
ADEUDO DIRECTO SEPA EMASA,-42.10,Suministros
RBO.DOMICILIADO MOVISTAR TELEFONICA,-85.00,Suministros
RECIBO ORANGE ESPAGNE SAU,-55.20,Suministros
ADEUDO DIRECTO MASMOVIL BROADBAND,-45.00,Suministros
RECIBO DIGI SPAIN TELECOM SL,-25.00,Suministros
ADEUDO SEPA LOWI VODAFONE,-29.95,Suministros
RECIBO DOMICILIADO SIMYO,-15.50,Suministros
ADEUDO DIRECTO SEPA PEPEPHONE,-19.90,Suministros
RBO.DOMICILIADO FINETWORK,-24.90,Suministros
COMPRA TARJ FARMACIA DEL GLOBO MADRID,-32.50,Salud
PAGO EN COMERCIO OPTICA UNIVERSITARIA,-185.00,Salud
COMPRA TARJETA CLINICA DENTAL RUIZ,-120.00,Salud
OPERACION TARJ. CENTRO DE FISIOTERAPIA,-55.00,Salud
PAG. TARJ. CONSULTA PSICOLOGIA,-70.00,Salud
COMPRA CONTACTLESS HOSPITAL QUIRONSALUD,-200.00,Salud
ADEUDO SEPA SANITAS SA DE SEGUROS,-75.50,Salud
RECIBO DOMICILIADO ADESLAS SEGUROS,-65.20,Salud
COMPRA TARJ YELMO CINES MADRID,-22.40,Ocio
PAGO EN COMERCIO KINEPOLIS ESPAÑA,-28.50,Ocio
COMPRA TARJETA OCINE SEVILLA,-18.50,Ocio
OPERACION TARJ. STEAM GAMES,-55.00,Ocio
PAG. TARJ. PLAYSTATION NETWORK,-59.99,Ocio
COMPRA CONTACTLESS XBOX LIVE,-12.99,Ocio
PAGO MOVIL NINTENDO ESHOP,-49.99,Ocio
COMPRA TARJ FNAC ESPAÑA SA,-45.20,Ocio
PAGO EN COMERCIO CASA DEL LIBRO,-32.50,Ocio
COMPRA TARJETA TICKETMASTER ESPAÑA,-150.00,Ocio
OPERACION TARJ. PARQUE WARNER MADRID,-110.00,Ocio
COMPRA TARJ PULL AND BEAR ESPAÑA,-45.80,Ropa
PAGO EN COMERCIO BERSHKA BSK ESPAÑA,-35.20,Ropa
COMPRA TARJETA STRADIVARIUS ESPAÑA,-52.10,Ropa
OPERACION TARJ. MASSIMO DUTTI SA,-120.50,Ropa
PAG. TARJ. H AND M HENNES AND MAURITZ,-65.40,Ropa
COMPRA CONTACTLESS MANGO PUNTO FA SL,-85.00,Ropa
PAGO MOVIL PRIMARK TIENDAS SL,-55.20,Ropa
COMPRA TARJ DECATHLON ESPAÑA SA,-95.00,Ropa
PAGO EN COMERCIO SPRINTER MEGACENTROS,-45.80,Ropa
COMPRA TARJETA NIKE EUROPE,-150.00,Ropa
OPERACION TARJ. ADIDAS ESPAÑA SA,-110.00,Ropa
PAG. TARJ. EL CORTE INGLES SA,-185.00,Ropa
RECIBO UNIVERSIDAD DE SEVILLA,-450.00,Educación
PAGO EN COMERCIO ACADEMIA ENGLISH WAY,-85.00,Educación
COMPRA TARJETA UDEMY ONLINE COURSES,-24.99,Educación
OPERACION TARJ. COURSERA INC,-39.00,Educación
PAG. TARJ. LIBRERIA TEXTO SL,-150.00,Educación
COMPRA CONTACTLESS AUTOESCUELA RACC,-350.00,Educación
ADEUDO SEPA DISNEY PLUS,-8.99,Suscripciones
RECIBO APPLE ICLOUD STORAGE,-2.99,Suscripciones
ADEUDO DIRECTO SEPA APPLE MUSIC,-10.99,Suscripciones
RECIBO DOMICILIADO BASIC FIT SPAIN,-29.99,Suscripciones
ADEUDO DIRECTO MCFIT ESPAÑA,-34.90,Suscripciones
RBO.DOMICILIADO O2 CENTRO WELLNESS,-85.00,Suscripciones
RECIBO DIR GIMNASIOS BARCELONA,-55.00,Suscripciones
ADEUDO SEPA LINEA DIRECTA ASEGURADORA,-245.00,Seguros
RECIBO MUTUA MADRILEÑA AUTOMOVIL,-320.00,Seguros
ADEUDO DIRECTO SEPA ZURICH INSURANCE,-180.00,Seguros
RBO.DOMICILIADO ALLIANZ SEGUROS,-210.00,Seguros
RECIBO PELAYO MUTUA DE SEGUROS,-150.00,Seguros
ADEUDO SEPA LIBERTY SEGUROS,-195.00,Seguros
RECIBO GENERALI ESPAÑA SA,-175.00,Seguros
ADEUDO DIRECTO SANTALUCIA SA,-45.20,Seguros
RBO.DOMICILIADO OCASO SA SEGUROS,-38.50,Seguros
COMPRA TARJ CLINICA VETERINARIA SAN ROQUE,-110.00,Mascotas
PAGO EN COMERCIO KIWOKO PET SL,-55.40,Mascotas
COMPRA TARJETA TIENDANIMAL SA,-65.20,Mascotas
OPERACION TARJ. ZOOPLUS AG,-75.00,Mascotas
PAG. TARJ. MISCOTA RETAIL SL,-45.80,Mascotas
COMPRA CONTACTLESS FLORISTERIA EL CARMEN,-55.00,Regalos
PAGO MOVIL JOYERIA SUAREZ SA,-250.00,Regalos
COMPRA TARJ TIGER STORES SPAIN,-22.40,Regalos
PAGO EN COMERCIO AMAZON EU SARL,-65.00,Regalos
COMPRA TARJ ALIEXPRESS E-COMMERCE,-18.50,Otros gastos
OPERACION TARJ. TEMU COM,-32.10,Otros gastos
PAG. TARJ. SHEIN EUROPE,-55.40,Otros gastos
COMPRA CONTACTLESS PAYPAL EUROPE SARL,-45.00,Otros gastos
PAGO MOVIL PELUQUERIA CARLOS,-22.00,Otros gastos
COMPRA TARJ EXPENDEDURIA NUM 12,-18.50,Otros gastos
PAGO EN COMERCIO NOTARIA RUIZ GOMEZ,-250.00,Otros gastos
COMPRA TARJETA GESTORIA LOPEZ SL,-110.00,Otros gastos
OPERACION TARJ. SOCIEDAD ESTATAL CORREOS,-18.50,Otros gastos
PAG. TARJ. PAPELERIA FERRER,-12.40,Otros gastos
TRANSFERENCIA DE INNOVATION SL CONCEPTO NOMINA,2150.00,Nómina
ABONO NOMINA REF.NM052025 LOGISTICS SA,1750.00,Nómina
TRANSF. RECIBIDA DE MARTINEZ GOMEZ LAURA,50.00,Transferencias recibidas
INGRESO POR TRANSFERENCIA REF.FACTURA 125,1200.00,Freelance
BIZUM RECIBIDO DE PEDRO SANCHEZ CONCEPTO REGALO,30.00,Transferencias recibidas
DEVOLUCION COMPRA ZARA ESPAÑA SA,29.95,Devoluciones
ABONO POR DEVOLUCION EL CORTE INGLES,85.00,Devoluciones
LIQUIDACION INTERESES CUENTA REMUNERADA,15.40,Otros ingresos
TRANSFERENCIA PREMIO LOTERIAS Y APUESTAS,120.00,Otros ingresos
ABONO AGENCIA TRIBUTARIA DEVOLUCION RENTA,450.00,Otros ingresos
INGRESO TRANSFERENCIA WALLAPOP SL,45.00,Otros ingresos
TRANSFERENCIA DE VINTED UAB,22.50,Otros ingresos
